Tax Year,County,Income Class,Number of Returns,NY AGI Total ($),NYS Tax Liability Total ($)
1999,Cayuga,"$20,000 - $29,999",4911,113305742.36,2538373.95
1999,Cayuga,"$200,000 or more",1095,353618061.21,2959449.64
1999,Cayuga,"$30,000 - $39,999",4592,160524864.78,3333210.1
1999,Cayuga,"$40,000 - $49,999",3437,157509884.04,3597465.94
1999,Cayuga,"$5,000 - $9,999",2945,23022405.44,438325.09
1999,Cayuga,"$50,000 - $74,999",5059,325102057.38,6482290.81
1999,Cayuga,"$75,000 - $99,999",2694,237823532.77,4963294.16
1999,Cayuga,"Under $5,000",2995,6941356.56,119992.04
1999,Chemung,"$10,000 - $19,999",5871,93612283.75,1699806.93
1999,Chemung,"$100,000 - $199,999",2526,362660386.45,5339530.69
1999,Chemung,"$20,000 - $29,999",5166,133380032.4,2475321.01
1999,Chemung,"$200,000 or more",1247,369888057.34,3069914.76
1999,Chemung,"$30,000 - $39,999",4630,155077161.35,3344614.17
1999,Chemung,"$40,000 - $49,999",3387,157637293.5,3291365.91
1999,Chemung,"$5,000 - $9,999",3178,24769595.15,396342.19
1999,Chemung,"$50,000 - $74,999",5677,370412024.7,7702741.17
1999,Chemung,"$75,000 - $99,999",2981,281980641.23,5213142.9
1999,Chemung,"Under $5,000",3276,7370823.44,117452.62
1999,Cortland,"$10,000 - $19,999",3581,55437487.17,1028115.66
1999,Cortland,"$100,000 - $199,999",1494,218058961.36,2806161.91
1999,Cortland,"$20,000 - $29,999",2785,72860260.22,1319828.67
1999,Cortland,"$200,000 or more",692,187993237.26,1684355.48
1999,Cortland,"$30,000 - $39,999",2788,98200951.35,2041870.86
1999,Cortland,"$40,000 - $49,999",2012,77680382.55,2078066.37
1999,Cortland,"$5,000 - $9,999",1836,13039327.07,242607.22
1999,Cortland,"$50,000 - $74,999",3237,189788275.92,4372701.61
1999,Cortland,"$75,000 - $99,999",1717,165095952.17,2830724.87
1999,Cortland,"Under $5,000",1867,4765688.43,65424.5
1999,Dutchess,"$10,000 - $19,999",18428,278761013.27,6995821.57
1999,Dutchess,"$100,000 - $199,999",11512,1963976345.79,30215945.3
1999,Dutchess,"$20,000 - $29,999",17075,451783047.79,11793453.98
1999,Dutchess,"$200,000 or more",6427,2004574302.52,19495949.45
1999,Dutchess,"$30,000 - $39,999",16297,551547661.68,14351691.65
1999,Dutchess,"$40,000 - $49,999",13656,606337214.34,19665119.34
1999,Dutchess,"$5,000 - $9,999",8125,57854665.65,1496777.89
1999,Dutchess,"$50,000 - $74,999",21574,1263305670.16,37055082.32
1999,Dutchess,"$75,000 - $99,999",13040,1119057950.15,26797133.85
1999,Dutchess,"Under $5,000",8116,20964090.36,432418.0
1999,Erie,"$10,000 - $19,999",60026,825589294.7,18931932.93
1999,Erie,"$100,000 - $199,999",31357,5157130517.11,75544267.82
1999,Erie,"$20,000 - $29,999",55885,1409730974.22,28048190.19
1999,Erie,"$200,000 or more",15245,4293306826.58,39921363.8
1999,Erie,"$30,000 - $39,999",49050,1667230794.87,38670107.63
1999,Erie,"$40,000 - $49,999",39791,1757711093.57,44013401.58
1999,Erie,"$5,000 - $9,999",28082,224646556.51,4438999.2
1999,Erie,"$50,000 - $74,999",64413,3847741599.66,94255486.24
1999,Erie,"$75,000 - $99,999",31440,2727776875.57,58643708.95
1999,Erie,"Under $5,000",30732,77507926.74,1343236.02
1999,"Grand Total, Full-Year Resident",All Classes,6362952,407840739155.1,9751974554.62
1999,Madison,"$10,000 - $19,999",4609,76910420.94,1466272.92
1999,Madison,"$100,000 - $199,999",1909,292068248.3,4331675.24
1999,Madison,"$20,000 - $29,999",3928,100378561.76,2207761.28
1999,Madison,"$200,000 or more",952,295603184.01,2618297.85
1999,Madison,"$30,000 - $39,999",3839,142325580.7,3360423.86
1999,Madison,"$40,000 - $49,999",3282,139987232.72,3667070.66
1999,Madison,"$5,000 - $9,999",2276,17228881.16,337691.45
1999,Madison,"$50,000 - $74,999",4630,297074006.93,6757913.98
1999,Madison,"$75,000 - $99,999",2402,202713053.54,4565965.61
1999,Madison,"Under $5,000",2478,6323902.62,120145.39
1999,Manhattan,"$10,000 - $19,999",41107,649389390.36,30150374.31
1999,Manhattan,"$100,000 - $199,999",111003,16318394120.73,635526308.85
1999,Manhattan,"$20,000 - $29,999",49338,1196658552.92,59986839.16
1999,Manhattan,"$200,000 or more",72441,20932539906.94,532801889.5
1999,Manhattan,"$30,000 - $39,999",60649,2125543721.82,112006672.77
1999,Manhattan,"$40,000 - $49,999",62424,2634595859.21,173546487.67
1999,Manhattan,"$5,000 - $9,999",14942,119196236.74,5700192.43
1999,Manhattan,"$50,000 - $74,999",126480,7824410180.91,436884680.95
1999,Manhattan,"$75,000 - $99,999",94727,8033120569.53,404582149.16
1999,Manhattan,"Under $5,000",10879,27484142.14,1095228.18
1999,Monroe,"$10,000 - $19,999",44905,707284236.36,16457439.29
1999,Monroe,"$100,000 - $199,999",25406,3932285707.29,62495257.62
1999,Monroe,"$20,000 - $29,999",41231,1032803138.94,25516811.18
1999,Monroe,"$200,000 or more",13237,4047276959.71,38831671.21
1999,Monroe,"$30,000 - $39,999",37751,1373613876.53,32679360.82
1999,Monroe,"$40,000 - $49,999",31589,1301674743.09,39884371.05
1999,Monroe,"$5,000 - $9,999",21062,163498542.28,3719001.67
1999,Monroe,"$50,000 - $74,999",58650,3827275639.34,91965121.3
1999,Monroe,"$75,000 - $99,999",29656,2617982470.57,59899227.61
1999,Monroe,"Under $5,000",21841,57586613.93,1074867.14
1999,NYS Unclassified +,All Classes,2491,73996793.87,1951302.85
1999,Nassau,"$10,000 - $19,999",53778,771813858.41,27941094.51
1999,Nassau,"$100,000 - $199,999",78893,12582658581.83,310198012.6
1999,Nassau,"$20,000 - $29,999",64541,1700674557.62,56608675.45
1999,Nassau,"$200,000 or more",44016,13627916982.09,202883778.97
1999,Nassau,"$30,000 - $39,999",64998,2267676532.73,79472599.3
1999,Nassau,"$40,000 - $49,999",64336,3203141376.68,125095603.05
1999,Nassau,"$5,000 - $9,999",27150,197334686.78,6736032.87
1999,Nassau,"$50,000 - $74,999",107619,6741780020.58,280765306.15
1999,Nassau,"$75,000 - $99,999",79083,6606655474.85,238681362.53
1999,Nassau,"Under $5,000",22215,56456598.02,1698469.11
1999,Onondaga,"$10,000 - $19,999",30343,451511752.47,9984856.63
1999,Onondaga,"$100,000 - $199,999",17471,2569317246.83,42710809.28
1999,Onondaga,"$20,000 - $29,999",27135,728141899.51,15004336.17
1999,Onondaga,"$200,000 or more",8499,2485507456.07,22588547.73
1999,Onondaga,"$30,000 - $39,999",26189,862553884.59,22533535.28
1999,Onondaga,"$40,000 - $49,999",21653,935026970.37,26171745.46
1999,Onondaga,"$5,000 - $9,999",14872,110666080.03,2570051.64
1999,Onondaga,"$50,000 - $74,999",35331,1937817332.54,52973886.15
1999,Onondaga,"$75,000 - $99,999",19753,1687322679.82,39101756.7
1999,Onondaga,"Under $5,000",15472,38257628.23,737038.07
1999,Orange,"$10,000 - $19,999",21378,305945509.3,8004305.49
1999,Orange,"$100,000 - $199,999",11887,1783092346.72,30965466.85
1999,Orange,"$20,000 - $29,999",19502,501629251.31,12375653.24
1999,Orange,"$200,000 or more",6251,1887350422.93,22132103.36
1999,Orange,"$30,000 - $39,999",17868,653215500.45,16934618.34
1999,Orange,"$40,000 - $49,999",14260,666498984.8,17487807.6
1999,Orange,"$5,000 - $9,999",10230,84754775.29,1760896.82
1999,Orange,"$50,000 - $74,999",24383,1497171331.39,38165967.28
1999,Orange,"$75,000 - $99,999",14600,1361876173.29,31971813.4
1999,Orange,"Under $5,000",9502,26102171.74,477040.93
1999,Queens,"$10,000 - $19,999",91740,1339938558.76,32314143.24
1999,Queens,"$100,000 - $199,999",56697,8878261760.12,138371294.72
1999,Queens,"$20,000 - $29,999",96337,2314555688.18,56059125.26
1999,Queens,"$200,000 or more",30870,8947924968.74,101193364.83
1999,Queens,"$30,000 - $39,999",85930,3219292896.91,80778548.57
1999,Queens,"$40,000 - $49,999",68395,2852109782.94,84089556.06
1999,Queens,"$5,000 - $9,999",46834,367835284.71,8464082.58
1999,Queens,"$50,000 - $74,999",123228,8199068999.87,210315550.61
1999,Queens,"$75,000 - $99,999",71692,6701208713.49,143255519.26
1999,Queens,"Under $5,000",48505,122803266.17,2413253.68
1999,Residence Unknown ++,All Classes,675,15854893.57,517288.92
1999,Rockland,"$10,000 - $19,999",12537,175600120.95,5123274.85
1999,Rockland,"$100,000 - $199,999",13731,2155663587.74,45815164.18
1999,Rockland,"$20,000 - $29,999",13358,323912429.39,9631611.31
1999,Rockland,"$200,000 or more",7694,2156708757.54,28634455.95
1999,Rockland,"$30,000 - $39,999",13441,524794412.43,13526199.55
1999,Rockland,"$40,000 - $49,999",12459,578684133.38,20126605.89
1999,Rockland,"$5,000 - $9,999",5704,41203812.56,1126462.43
1999,Rockland,"$50,000 - $74,999",20098,1273486388.66,39478406.65
1999,Rockland,"$75,000 - $99,999",13499,1124884600.99,33440649.97
1999,Rockland,"Under $5,000",5433,13857094.92,291734.34
1999,Schuyler,"$10,000 - $19,999",1380,20557782.73,409972.75
1999,Schuyler,"$100,000 - $199,999",546,79066636.27,1083894.42
1999,Schuyler,"$20,000 - $29,999",1308,32822735.54,589507.71
1999,Schuyler,"$200,000 or more",272,87654514.64,607074.98
1999,Schuyler,"$30,000 - $39,999",1066,39299982.27,748715.74
1999,Schuyler,"$40,000 - $49,999",914,38759334.88,930634.73
1999,Schuyler,"$5,000 - $9,999",809,6164855.02,107784.58
1999,Schuyler,"$50,000 - $74,999",1326,81902083.77,1768972.54
1999,Schuyler,"$75,000 - $99,999",652,57590845.6,1053840.68
1999,Schuyler,"Under $5,000",778,1844945.48,29628.76
1999,Seneca,"$10,000 - $19,999",2361,37210414.82,719648.53
1999,Seneca,"$100,000 - $199,999",995,157899853.38,2127730.93
1999,Seneca,"$20,000 - $29,999",1934,42162265.98,953331.48
1999,Seneca,"$200,000 or more",443,128249389.28,1184285.78
1999,Seneca,"$30,000 - $39,999",1901,65066502.82,1388995.2
1999,Seneca,"$40,000 - $49,999",1557,67925632.02,1641995.59
1999,Seneca,"$5,000 - $9,999",1210,8455760.71,181102.28
1999,Seneca,"$50,000 - $74,999",2177,137074323.07,2950000.55
1999,Seneca,"$75,000 - $99,999",1061,95481617.63,1765506.04
1999,Seneca,"Under $5,000",1383,3426847.05,55730.94
1999,Staten Island,"$10,000 - $19,999",22490,305741204.52,8352653.36
1999,Staten Island,"$100,000 - $199,999",15593,2538766445.04,40770998.39
1999,Staten Island,"$20,000 - $29,999",22645,538203122.7,14590574.35
1999,Staten Island,"$200,000 or more",7926,2585315083.0,25368073.65
1999,Staten Island,"$30,000 - $39,999",21923,699060505.19,19660062.45
1999,Staten Island,"$40,000 - $49,999",17126,786986659.01,21660260.11
1999,Staten Island,"$5,000 - $9,999",11144,85503494.79,2155941.02
1999,Staten Island,"$50,000 - $74,999",29048,1659015301.3,51023414.67
1999,Staten Island,"$75,000 - $99,999",17731,1553925786.52,39423737.48
1999,Staten Island,"Under $5,000",10786,25566617.85,596434.76
1999,Suffolk,"$10,000 - $19,999",74961,1114432524.46,28529627.18
1999,Suffolk,"$100,000 - $199,999",61356,9678360381.65,171055036.91
1999,Suffolk,"$20,000 - $29,999",77812,1941401245.67,53474842.38
1999,Suffolk,"$200,000 or more",34656,11656576958.68,111364636.57
1999,Suffolk,"$30,000 - $39,999",76846,2787577960.47,80645355.39
1999,Suffolk,"$40,000 - $49,999",70427,3071457931.66,88305807.96
1999,Suffolk,"$5,000 - $9,999",38387,271143022.45,7713459.35
1999,Suffolk,"$50,000 - $74,999",107044,6465123133.46,198287887.39
1999,Suffolk,"$75,000 - $99,999",68089,5987326356.19,163197395.41
1999,Suffolk,"Under $5,000",34732,91021884.98,1953742.48
1999,Tioga,"$10,000 - $19,999",3516,53210207.18,954422.65
1999,Tioga,"$100,000 - $199,999",1522,243403870.38,3216975.13
1999,Tioga,"$20,000 - $29,999",2857,71505327.89,1404397.9
1999,Tioga,"$200,000 or more",729,231739074.79,2013424.51
1999,Tioga,"$30,000 - $39,999",2572,84441785.12,1789024.53
1999,Tioga,"$40,000 - $49,999",2086,99229860.63,1912357.94
1999,Tioga,"$5,000 - $9,999",1879,15927272.3,275011.21
1999,Tioga,"$50,000 - $74,999",3313,201928651.3,4290888.21
1999,Tioga,"$75,000 - $99,999",1718,145539457.43,3067206.97
1999,Tioga,"Under $5,000",1970,4968836.87,82774.68
1999,Tompkins,"$10,000 - $19,999",6216,99117288.49,2051892.51
1999,Tompkins,"$100,000 - $199,999",3217,492611668.48,7990139.97
1999,Tompkins,"$20,000 - $29,999",5750,142643599.14,3359271.18
1999,Tompkins,"$200,000 or more",1538,471446862.03,4408224.58
1999,Tompkins,"$30,000 - $39,999",4674,160123742.43,3948008.29
1999,Tompkins,"$40,000 - $49,999",3953,174780446.8,4338416.77
1999,Tompkins,"$5,000 - $9,999",2926,21210425.84,482402.28
1999,Tompkins,"$50,000 - $74,999",6620,424910001.77,10196081.23
1999,Tompkins,"$75,000 - $99,999",3617,322323580.57,6629489.97
1999,Tompkins,"Under $5,000",3123,7735666.85,148613.88
1999,Westchester,"$10,000 - $19,999",37672,567988858.15,19109575.87
1999,Westchester,"$100,000 - $199,999",57605,9090736934.66,200832955.14
1999,Westchester,"$20,000 - $29,999",39456,961901280.34,34394202.59
1999,Westchester,"$200,000 or more",30145,9152485207.84,139683526.29
1999,Westchester,"$30,000 - $39,999",46154,1638149787.88,63871668.03
1999,Westchester,"$40,000 - $49,999",46897,2399083007.72,90958282.76
1999,Westchester,"$5,000 - $9,999",15840,117309143.82,4100610.28
1999,Westchester,"$50,000 - $74,999",75010,4659708004.63,173646259.07
1999,Westchester,"$75,000 - $99,999",52087,4459464227.62,149777396.79
1999,Westchester,"Under $5,000",14880,34734032.96,1070591.3
1999,Yates,"$10,000 - $19,999",1732,25583704.27,482931.22
1999,Yates,"$100,000 - $199,999",714,109633928.84,1462232.88
1999,Yates,"$20,000 - $29,999",1548,37325195.7,723574.13
1999,Yates,"$200,000 or more",341,98475241.75,876320.94
1999,Yates,"$30,000 - $39,999",1371,48112823.08,966088.56
1999,Yates,"$40,000 - $49,999",1082,49654433.75,1109450.07
1999,Yates,"$5,000 - $9,999",941,7212286.92,131635.91
1999,Yates,"$50,000 - $74,999",1611,96505038.1,2208947.22
1999,Yates,"$75,000 - $99,999",825,71317110.79,1305947.38
1999,Yates,"Under $5,000",1047,2502363.46,44023.55
2000,Albany,"$10,000 - $19,999",18830,272469731.84,7118456.57
2000,Albany,"$100,000 - $199,999",11766,1716204930.41,29509951.86
2000,Albany,"$20,000 - $29,999",18213,422371930.13,11991686.95
2000,Albany,"$200,000 or more",6385,1960564997.31,19843996.48
2000,Albany,"$30,000 - $39,999",16739,505153804.22,15852794.88
2000,Albany,"$40,000 - $49,999",14183,621124645.19,19846712.32
2000,Albany,"$5,000 - $9,999",9726,76284134.56,1830966.76
2000,Albany,"$50,000 - $74,999",22621,1595697120.27,36379176.78
2000,Albany,"$75,000 - $99,999",13641,1219825348.42,30064475.9
2000,Albany,"Under $5,000",9072,24280573.6,508396.82
2000,Bronx,"$10,000 - $19,999",83775,1248909213.25,22556439.8
2000,Bronx,"$100,000 - $199,999",21314,3323906872.53,37663490.12
2000,Bronx,"$20,000 - $29,999",75851,1955156817.47,32477033.84
2000,Bronx,"$200,000 or more",9647,2838182598.3,24044460.6
2000,Bronx,"$30,000 - $39,999",56815,2056373057.3,37812746.43
2000,Bronx,"$40,000 - $49,999",40248,1770647868.48,40807732.3
2000,Bronx,"$5,000 - $9,999",50036,395508567.49,6260354.7
2000,Bronx,"$50,000 - $74,999",54923,3625306381.85,65611130.28
2000,Bronx,"$75,000 - $99,999",28286,2382859539.79,44575412.21
2000,Bronx,"Under $5,000",59922,146272909.05,2277010.36
2000,Brooklyn,"$10,000 - $19,999",117107,1673793074.38,41607354.43
2000,Brooklyn,"$100,000 - $199,999",70351,11312956617.36,185026839.43
2000,Brooklyn,"$20,000 - $29,999",109440,2722188961.35,56843302.38
2000,Brooklyn,"$200,000 or more",31940,9095905585.8,94644053.52
2000,Brooklyn,"$30,000 - $39,999",104197,3665558282.6,85958857.37
2000,Brooklyn,"$40,000 - $49,999",88601,3926505516.85,109872519.26
2000,Brooklyn,"$5,000 - $9,999",64634,473396961.16,10339517.58
2000,Brooklyn,"$50,000 - $74,999",142964,9715495548.11,214066331.05
2000,Brooklyn,"$75,000 - $99,999",74501,6288520770.99,154753194.27
2000,Brooklyn,"Under $5,000",61812,147221845.83,3144681.62
2000,Broome,"$10,000 - $19,999",14487,222555912.8,4837061.37
2000,Broome,"$100,000 - $199,999",6606,990804885.44,15849565.44
2000,Broome,"$20,000 - $29,999",13227,312003554.67,7680007.99
2000,Broome,"$200,000 or more",3176,972438492.67,7529813.69
2000,Broome,"$30,000 - $39,999",11163,377038648.24,9254187.65
2000,Broome,"$40,000 - $49,999",9074,437292680.54,10112886.89
2000,Broome,"$5,000 - $9,999",7297,55977776.03,1197771.99
2000,Broome,"$50,000 - $74,999",13061,796793653.11,19887198.87
2000,Broome,"$75,000 - $99,999",7394,723755529.91,12159966.81
2000,Broome,"Under $5,000",7433,17048242.3,338756.15
2000,Cayuga,"$10,000 - $19,999",5442,80801325.15,1643726.4
2000,Cayuga,"$100,000 - $199,999",2370,355343708.76,5469113.37
2000,Cayuga,"$20,000 - $29,999",4838,118012960.87,2578961.71
2000,Cayuga,"$200,000 or more",1073,330266838.38,2710317.14
2000,Cayuga,"$30,000 - $39,999",3988,135585893.99,2826847.64
2000,Cayuga,"$40,000 - $49,999",3405,158640551.39,4038901.93
2000,Cayuga,"$5,000 - $9,999",2582,19053828.91,415839.42
2000,Cayuga,"$50,000 - $74,999",5430,343745319.6,7981728.7
2000,Cayuga,"$75,000 - $99,999",2647,239284476.82,4757592.2
2000,Cayuga,"Under $5,000",3196,8476666.72,132754.92
2000,Chemung,"$10,000 - $19,999",5723,84569734.06,1903490.34
2000,Chemung,"$100,000 - $199,999",2694,412126860.42,6077236.49
2000,Chemung,"$20,000 - $29,999",5376,138993357.45,2664861.4
2000,Chemung,"$200,000 or more",1166,326200903.42,3350291.71
2000,Chemung,"$30,000 - $39,999",4754,170390154.47,3554470.22
2000,Chemung,"$40,000 - $49,999",3697,160707747.88,3700798.31
2000,Chemung,"$5,000 - $9,999",3151,23907374.9,483685.84
2000,Chemung,"$50,000 - $74,999",5658,350655563.8,8290329.86
2000,Chemung,"$75,000 - $99,999",2971,273889450.52,5226408.53
2000,Chemung,"Under $5,000",3404,8241355.28,145632.56
2000,Cortland,"$10,000 - $19,999",3644,47607885.31,1187223.61
2000,Cortland,"$100,000 - $199,999",1487,237923076.71,3213283.21
2000,Cortland,"$20,000 - $29,999",3098,75784788.51,1561512.16
2000,Cortland,"$200,000 or more",635,193006374.18,1675506.12
2000,Cortland,"$30,000 - $39,999",2726,97188393.68,2223247.89
2000,Cortland,"$40,000 - $49,999",2141,93998084.75,2395819.92
2000,Cortland,"$5,000 - $9,999",1843,13220870.27,288526.59
2000,Cortland,"$50,000 - $74,999",3285,226173469.24,5267359.2
2000,Cortland,"$75,000 - $99,999",1863,163121557.7,3217424.27
2000,Cortland,"Under $5,000",2045,4988710.27,88799.81
2000,Dutchess,"$10,000 - $19,999",17149,241997436.67,5879700.74
2000,Dutchess,"$100,000 - $199,999",12004,1797664983.84,34372923.72
2000,Dutchess,"$20,000 - $29,999",16541,453051079.08,10486684.38
2000,Dutchess,"$200,000 or more",5822,1845957304.08,18114663.2
2000,Dutchess,"$30,000 - $39,999",15408,539001947.23,13344136.97
2000,Dutchess,"$40,000 - $49,999",13757,648642174.37,18631287.19
2000,Dutchess,"$5,000 - $9,999",8125,58679690.91,1470137.55
2000,Dutchess,"$50,000 - $74,999",21398,1318450511.08,36487121.25
2000,Dutchess,"$75,000 - $99,999",12414,1076510732.91,29899244.07
2000,Dutchess,"Under $5,000",7987,18048615.15,430729.68
2000,Erie,"$10,000 - $19,999",62495,864527542.13,20086740.12
2000,Erie,"$100,000 - $199,999",34340,5347869641.44,82436118.75
2000,Erie,"$20,000 - $29,999",52562,1321553225.45,27046355.4
2000,Erie,"$200,000 or more",16267,5097572706.05,49418622.56
2000,Erie,"$30,000 - $39,999",48814,1803195595.02,43164927.95
2000,Erie,"$40,000 - $49,999",39615,1679062548.38,48980726.72
2000,Erie,"$5,000 - $9,999",27999,205899861.68,4670470.39
2000,Erie,"$50,000 - $74,999",61323,3957071467.73,99498565.26
2000,Erie,"$75,000 - $99,999",35084,3121163301.04,67107382.87
2000,Erie,"Under $5,000",28470,72581962.1,1265226.78
2000,"Grand Total, Full-Year Resident",All Classes,6360773,409777683295.0,10298828548.67
2000,Madison,"$10,000 - $19,999",4875,69766769.26,1485538.1
2000,Madison,"$100,000 - $199,999",2036,303581721.97,4849089.94
2000,Madison,"$20,000 - $29,999",4323,110631285.54,2282989.76
2000,Madison,"$200,000 or more",999,309432541.15,2714822.35
2000,Madison,"$30,000 - $39,999",3786,135538969.41,3080243.25
2000,Madison,"$40,000 - $49,999",3167,139252502.11,3527068.89
2000,Madison,"$5,000 - $9,999",2628,19392054.6,434909.51
2000,Madison,"$50,000 - $74,999",4300,296791339.16,6657796.45
2000,Madison,"$75,000 - $99,999",2610,220129640.71,5847270.96
2000,Madison,"Under $5,000",2480,5810832.66,113967.93
2000,Manhattan,"$10,000 - $19,999",40852,542911915.18,30413805.97
2000,Manhattan,"$100,000 - $199,999",111748,16296449948.16,620745692.37
2000,Manhattan,"$20,000 - $29,999",45811,1128116155.06,62884556.26
2000,Manhattan,"$200,000 or more",69395,19897585326.33,493485301.56
2000,Manhattan,"$30,000 - $39,999",57265,2013424286.55,117910901.71
2000,Manhattan,"$40,000 - $49,999",59914,2641415454.81,172409427.64
2000,Manhattan,"$5,000 - $9,999",16190,120072734.51,6006865.12
2000,Manhattan,"$50,000 - $74,999",133212,9089887440.26,468020783.69
2000,Manhattan,"$75,000 - $99,999",98045,8094515771.07,479018620.18
2000,Manhattan,"Under $5,000",12099,29484594.4,1336180.97
2000,Monroe,"$10,000 - $19,999",43482,642320343.41,16142554.44
2000,Monroe,"$100,000 - $199,999",26896,4245678885.25,75604567.65
2000,Monroe,"$20,000 - $29,999",42956,1134874001.8,25122742.62
2000,Monroe,"$200,000 or more",13059,3811746450.31,41285623.77
2000,Monroe,"$30,000 - $39,999",40285,1440543169.19,37131820.8
2000,Monroe,"$40,000 - $49,999",31255,1382570353.22,42417927.71
2000,Monroe,"$5,000 - $9,999",20841,165670356.8,3563675.33
2000,Monroe,"$50,000 - $74,999",51341,3286704718.56,81723041.04
2000,Monroe,"$75,000 - $99,999",29497,2622674381.18,63070812.17
2000,Monroe,"Under $5,000",21042,51117540.04,1002718.59
2000,NYS Unclassified +,All Classes,1383,36251328.28,1078684.33
2000,Nassau,"$10,000 - $19,999",55786,873261258.37,29917888.2
2000,Nassau,"$100,000 - $199,999",77735,11143303920.51,323962374.25
2000,Nassau,"$20,000 - $29,999",61012,1581139460.0,53408898.15
2000,Nassau,"$200,000 or more",42075,12625218953.57,198469800.77
2000,Nassau,"$30,000 - $39,999",64838,2341166213.5,86412121.71
2000,Nassau,"$40,000 - $49,999",59586,2728425169.6,103821155.71
2000,Nassau,"$5,000 - $9,999",26036,197792389.2,7347288.85
2000,Nassau,"$50,000 - $74,999",114566,7077493489.36,304567141.42
2000,Nassau,"$75,000 - $99,999",79235,7629889549.37,244620420.91
2000,Nassau,"Under $5,000",22160,59504753.05,1528740.74
2000,Onondaga,"$10,000 - $19,999",30094,434184615.66,10058282.94
2000,Onondaga,"$100,000 - $199,999",16843,2718970572.19,43189165.29
2000,Onondaga,"$20,000 - $29,999",27448,752717315.69,15077615.15
2000,Onondaga,"$200,000 or more",8834,2654156225.13,26499193.67
2000,Onondaga,"$30,000 - $39,999",26793,921409674.18,23988221.88
2000,Onondaga,"$40,000 - $49,999",21412,1001647694.3,23705902.38
2000,Onondaga,"$5,000 - $9,999",15526,117444511.22,2606733.2
2000,Onondaga,"$50,000 - $74,999",33183,1837706377.74,54436208.4
2000,Onondaga,"$75,000 - $99,999",18007,1679452134.32,38071928.84
2000,Onondaga,"Under $5,000",15680,40323070.72,844550.5
2000,Orange,"$10,000 - $19,999",20398,318385056.84,7057521.58
2000,Orange,"$100,000 - $199,999",12470,1798745492.42,35309767.12
2000,Orange,"$20,000 - $29,999",19711,518603817.79,11620404.87
2000,Orange,"$200,000 or more",5994,1646437123.76,18919921.36
2000,Orange,"$30,000 - $39,999",18225,555303415.46,17138325.17
2000,Orange,"$40,000 - $49,999",15320,751820655.89,19626257.21
